Unnamed: 0,timestamp,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,ammonia,us_aqi,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,surface_pressure,precipitation,cloud_cover,city
18383.0,2026-09-04 02:00:00,12.9,27.1,141.0,7.2,4.4,39.0,20.0,,64,26.0,85,12.6,260,1004.6,0.0,34,Karachi
18384.0,2026-09-06 17:00:00,18.0,40.0,184.0,5.6,4.3,49.0,30.0,,69,28.3,75,19.8,238,1006.5,0.0,66,Karachi
18385.0,2026-09-04 07:00:00,14.1,28.8,235.0,8.8,5.3,38.0,26.0,,66,26.3,83,14.2,266,1004.9,0.0,95,Karachi
18387.0,2026-09-05 05:00:00,13.5,28.2,119.0,5.6,4.4,39.0,21.0,,66,26.0,86,15.7,269,1005.9,0.0,36,Karachi
18388.0,2026-09-07 06:00:00,12.4,25.4,159.0,6.8,4.7,37.0,20.0,,65,25.8,91,13.8,258,1007.5,0.0,50,Karachi
18389.0,2026-09-07 20:00:00,13.6,28.9,220.0,14.4,5.6,32.0,20.0,,63,26.3,89,15.1,232,1006.8,0.0,48,Karachi
18390.0,2026-09-03 18:00:00,17.0,40.3,245.0,10.8,5.0,43.0,35.0,,65,27.3,74,14.6,240,1003.3,0.0,94,Karachi
18391.0,2026-09-07 05:00:00,12.5,26.1,110.0,4.9,4.1,39.0,19.0,,65,25.9,91,13.8,252,1007.5,0.0,45,Karachi
18393.0,2026-09-06 14:00:00,20.5,49.7,149.0,3.0,4.3,61.0,44.0,,68,29.6,69,17.0,237,1006.9,0.0,99,Karachi
18394.0,2026-09-05 17:00:00,16.9,39.2,237.0,8.3,4.4,44.0,32.0,,67,27.8,79,17.4,242,1006.0,0.1,94,Karachi
18395.0,2026-09-06 08:00:00,14.6,32.9,224.0,7.6,5.4,41.0,27.0,,68,27.2,81,15.2,265,1008.0,0.0,16,Karachi
18396.0,2026-09-04 22:00:00,13.4,25.7,213.0,14.9,5.6,32.0,19.0,,66,26.5,85,15.0,251,1007.2,0.0,94,Karachi
18397.0,2026-09-05 03:00:00,11.5,23.2,109.0,5.4,3.9,40.0,15.0,,64,26.0,87,14.3,258,1006.2,0.0,25,Karachi
18398.0,2026-09-06 18:00:00,19.0,40.3,184.0,7.9,4.5,44.0,24.0,,68,27.8,77,17.5,238,1007.0,0.0,95,Karachi
18399.0,2026-09-05 11:00:00,20.0,48.5,183.0,4.7,4.7,59.0,44.0,,65,29.8,66,18.5,257,1008.2,0.0,100,Karachi
18400.0,2026-09-03 11:00:00,18.5,46.1,190.0,4.9,5.4,59.0,42.0,,64,29.3,65,16.8,243,1006.6,0.0,58,Karachi
18401.0,2026-09-06 07:00:00,12.8,26.1,198.0,7.3,5.1,39.0,22.0,,69,26.1,88,13.3,267,1007.1,0.0,14,Karachi
18405.0,2026-09-03 05:00:00,11.9,25.3,135.0,8.0,5.5,36.0,19.0,,65,25.7,89,11.0,245,1004.6,0.0,48,Karachi
18406.0,2026-09-02 03:00:00,11.6,23.1,130.0,8.4,5.1,34.0,14.0,,62,25.5,93,9.9,251,1004.3,0.0,93,Karachi
18408.0,2026-09-02 05:00:00,13.5,29.3,142.0,8.0,5.4,34.0,23.0,,66,25.3,94,9.7,254,1004.3,0.0,99,Karachi
18409.0,2026-09-05 08:00:00,14.9,32.7,268.0,10.6,5.3,38.0,27.0,,65,27.2,80,14.9,272,1007.7,0.0,35,Karachi
18410.0,2026-09-03 04:00:00,12.3,25.8,120.0,8.6,5.5,35.0,18.0,,65,25.7,90,10.4,252,1004.5,0.0,62,Karachi
18412.0,2026-09-07 15:00:00,18.4,42.8,202.0,4.3,4.7,60.0,38.0,,63,28.9,74,19.0,239,1006.0,0.1,96,Karachi
18413.0,2026-09-04 03:00:00,11.9,24.9,125.0,6.0,4.2,40.0,18.0,,64,26.0,85,12.4,256,1004.3,0.0,34,Karachi
18414.0,2026-09-04 08:00:00,15.8,34.8,272.0,9.5,5.5,40.0,28.0,,66,27.2,77,15.8,263,1005.6,0.0,66,Karachi
18417.0,2026-09-05 23:00:00,11.9,21.6,192.0,12.4,4.7,32.0,11.0,,66,26.5,87,13.0,267,1008.2,0.0,29,Karachi
18418.0,2026-09-05 16:00:00,17.7,43.3,224.0,6.8,4.4,49.0,39.0,,67,28.5,75,18.4,237,1005.9,0.1,98,Karachi
18419.0,2026-09-04 23:00:00,12.9,24.6,205.0,13.4,5.5,33.0,16.0,,65,26.2,87,14.4,262,1007.5,0.0,96,Karachi
18420.0,2026-09-03 01:00:00,12.8,23.5,152.0,13.6,5.8,31.0,14.0,,64,25.8,90,11.2,255,1005.1,0.0,63,Karachi
18421.0,2026-09-07 18:00:00,17.8,40.3,236.0,10.4,5.0,38.0,50.0,,63,27.5,80,15.1,239,1005.4,0.0,92,Karachi
18424.0,2026-09-03 20:00:00,19.5,41.4,224.0,16.0,5.8,35.0,30.0,,64,26.9,77,13.9,239,1004.3,0.0,33,Karachi
