target_timestamp,horizon,feature_name,shap_value
2026-09-13 12:00:00,aqi_t+72h,nitrogen_dioxide,0.05311592785441602
2026-09-13 12:00:00,aqi_t+72h,sulphur_dioxide,-0.17534356751064006
2026-09-13 12:00:00,aqi_t+72h,ozone,0.11288846374065939
2026-09-13 12:00:00,aqi_t+72h,dust,-1.0207446831678042
2026-09-13 12:00:00,aqi_t+72h,us_aqi,-1.292704393601699
2026-09-13 12:00:00,aqi_t+72h,temperature_2m,-0.36024562139779726
2026-09-13 12:00:00,aqi_t+72h,relative_humidity_2m,-0.14593409994487375
2026-09-13 12:00:00,aqi_t+72h,wind_speed_10m,0.028722460397000556
2026-09-13 12:00:00,aqi_t+72h,wind_direction_10m,-0.18544077543751297
2026-09-13 12:00:00,aqi_t+72h,surface_pressure,-1.1009204711179976
2026-09-13 12:00:00,aqi_t+72h,precipitation,0.01797562503722755
2026-09-13 12:00:00,aqi_t+72h,cloud_cover,-0.09973633749718952
2026-09-13 12:00:00,aqi_t+72h,month,-1.9936138244183197
2026-09-13 12:00:00,aqi_t+72h,day_of_week,-0.00013153897793715628
2026-09-13 12:00:00,aqi_t+72h,is_weekday,-0.03329574404358744
2026-09-13 12:00:00,aqi_t+72h,hour,-0.0085931284204153
2026-09-13 12:00:00,aqi_t+72h,aqi_change_rate_1h,-0.03820723407675102
2026-09-13 12:00:00,aqi_t+72h,aqi_change_rate_24h,0.2762069010816712
2026-09-13 12:00:00,aqi_t+72h,rolling_mean_24h,-0.5729355190192287
2026-09-13 12:00:00,aqi_t+72h,rolling_std_24h,0.23485675306488163
2026-09-13 12:00:00,aqi_t+72h,us_aqi_lag1,-0.9519418721017512
2026-09-13 12:00:00,aqi_t+72h,us_aqi_lag2,-0.36688908627216876
2026-09-13 12:00:00,aqi_t+72h,us_aqi_lag3,-0.26467070823670846
2026-09-13 12:00:00,aqi_t+72h,us_aqi_lag24,-0.48467195794685797
2026-09-13 12:00:00,aqi_t+72h,us_aqi_lag48,-0.40786050465149654
2026-09-13 12:00:00,aqi_t+72h,us_aqi_lag72,0.005697377969558099
2026-09-13 12:00:00,aqi_t+72h,day_of_week_sin,-0.03710044715121121
2026-09-13 12:00:00,aqi_t+72h,day_of_week_cos,0.07859954365894806
2026-09-13 12:00:00,aqi_t+72h,month_sin,-0.27119584329326957
2026-09-13 12:00:00,aqi_t+72h,month_cos,-2.9694142439670035
2026-09-13 12:00:00,aqi_t+72h,hour_sin,-0.05733388715728322
2026-09-13 12:00:00,aqi_t+72h,hour_cos,-0.009742308019975766
2026-09-13 12:00:00,aqi_t+72h,wind_direction_10m_sin,-0.35150433904506456
2026-09-13 12:00:00,aqi_t+72h,wind_direction_10m_cos,-0.0017200401346695962
