timestamp,aqi_change_rate_1h,aqi_change_rate_24h,carbon_monoxide,cloud_cover,day_of_week,day_of_week_cos,day_of_week_sin,dust,hour,hour_cos,hour_sin,is_weekday,month,month_cos,month_sin,nitrogen_dioxide,ozone,pm10,pm2_5,precipitation,relative_humidity_2m,rolling_mean_24h,rolling_std_24h,sulphur_dioxide,surface_pressure,temperature_2m,us_aqi,us_aqi_lag1,us_aqi_lag2,us_aqi_lag24,us_aqi_lag3,us_aqi_lag48,us_aqi_lag72,wind_direction_10m,wind_direction_10m_cos,wind_direction_10m_sin,wind_speed_10m
2026-08-20 09:00:00,0.0,-2.0,264.0,97,3,-0.900968867902419,0.43388373911755823,37.0,9,-0.7071067811865475,0.7071067811865476,1,7,-0.8660254037844388,-0.4999999999999997,8.1,44.0,46.0,18.5,0.0,73,62.083333333333336,0.9743076322965272,5.2,1004.4,28.6,61,61.0,61.0,63.0,61.0,71.0,70.0,256,-0.24192189559966779,-0.9702957262759965,17.8
2025-10-20 09:00:00,-1.0,-10.0,1176.0,0,0,1.0,0.0,15.0,9,-0.7071067811865475,0.7071067811865476,1,9,-1.8369701987210297e-16,-1.0,38.8,72.0,37.4,31.2,0.0,30,93.91666666666667,17.75415852490761,21.1,1010.0,29.4,80,81.0,81.0,90.0,82.0,91.0,95.0,339,0.9335804264972015,-0.35836794954530077,6.2
2024-11-01 21:00:00,-1.0,-14.0,650.0,0,4,-0.9009688679024191,-0.433883739117558,43.0,21,0.7071067811865474,-0.7071067811865477,1,10,0.5000000000000001,-0.8660254037844386,34.4,38.0,53.2,26.4,0.0,84,101.29166666666667,5.417196183703185,5.1,1013.1,27.7,91,92.0,93.0,105.0,94.0,113.0,111.0,256,-0.24192189559966779,-0.9702957262759965,14.6
2026-05-20 00:00:00,0.0,-5.0,190.0,16,2,-0.22252093395631434,0.9749279121818236,24.0,0,1.0,0.0,1,4,-0.4999999999999998,0.8660254037844387,12.0,45.0,34.0,16.8,0.0,90,72.29166666666667,1.2676293062269248,5.1,1003.0,28.5,70,70.0,71.0,75.0,71.0,76.0,69.0,258,-0.2079116908177598,-0.9781476007338056,11.2
2025-12-20 01:00:00,3.0,15.0,1600.0,100,5,-0.2225209339563146,-0.9749279121818236,3.0,1,0.9659258262890683,0.25881904510252074,0,11,0.8660254037844384,-0.5000000000000004,101.3,13.0,81.0,79.4,0.0,49,132.41666666666666,2.932822748704867,35.5,1013.3,22.0,138,135.0,133.0,123.0,132.0,133.0,138.0,43,0.7313537016191706,0.6819983600624985,4.5
2025-06-01 05:00:00,0.0,-6.0,177.0,66,6,0.6234898018587334,-0.7818314824680299,26.0,5,0.25881904510252074,0.9659258262890683,0,5,-0.8660254037844387,0.49999999999999994,3.9,67.0,33.2,16.0,0.0,79,99.91666666666667,1.501207243650477,5.5,996.9,29.1,98,98.0,98.0,104.0,99.0,99.0,82.0,238,-0.529919264233205,-0.848048096156426,14.4
2024-09-03 00:00:00,0.0,3.0,419.0,95,1,0.6234898018587336,0.7818314824680298,46.0,0,1.0,0.0,1,8,-0.5000000000000004,-0.8660254037844384,36.1,4.0,38.3,14.9,0.0,94,62.0,1.1795356492418612,7.3,1003.9,26.0,62,62.0,62.0,59.0,63.0,55.0,59.0,241,-0.48480962024633684,-0.874619707139396,7.4
2025-06-01 06:00:00,0.0,-5.0,244.0,0,6,0.6234898018587334,-0.7818314824680299,28.0,6,6.123233995736766e-17,1.0,0,5,-0.8660254037844387,0.49999999999999994,5.9,66.0,32.4,16.0,0.0,89,99.70833333333333,1.3981094896004043,6.3,998.2,28.7,98,98.0,98.0,103.0,98.0,100.0,82.0,234,-0.5877852522924732,-0.8090169943749473,13.4
2026-08-20 08:00:00,0.0,-3.0,276.0,95,3,-0.900968867902419,0.43388373911755823,33.0,8,-0.4999999999999998,0.8660254037844387,1,7,-0.8660254037844388,-0.4999999999999997,8.9,39.0,37.6,15.7,0.0,75,62.166666666666664,0.9630868247029907,5.2,1004.2,28.0,61,61.0,61.0,64.0,61.0,71.0,70.0,256,-0.24192189559966779,-0.9702957262759965,17.1
2026-03-20 21:00:00,-1.0,16.0,688.0,12,4,-0.9009688679024191,-0.433883739117558,39.0,21,0.7071067811865474,-0.7071067811865477,1,2,0.5000000000000001,0.8660254037844386,34.6,45.0,47.8,23.2,0.0,80,95.20833333333333,5.021511695710047,12.7,1011.1,23.5,96,97.0,98.0,80.0,98.0,79.0,66.0,246,-0.4067366430758001,-0.913545457642601,8.7
